battery_no,cycle_idx,num_cycles,cycle_frac,cycle_label,qnom_init_ah,soh_true,qnom_start_frac,rmse_ekf,rmse_v,residual_mean,residual_std,residual_late_mean,residual_end_minus_mid,residual_abs_area,residual_peak_abs,cluster_raw,cluster_shape
2,2,3,0.666666666666667,middle,1.0750582903201,1.02320033239544,1,0.0344994385959915,0.112549987824809,0.0261562131870211,0.0220020310388113,0.0634986596249695,0.0563246307698933,0.0260317110745092,0.0712322377207666,1,2
2,3,3,1,last,1.0750582903201,1.02320033239544,0.458901712712986,0.281907277810436,0.202675247531871,-0.241006049429345,0.150712737447892,-0.0950143286918676,0.401060796819212,0.243139039925538,0.484769151581362,2,1
4,2,3,0.666666666666667,middle,1.07931419993218,1.0191656887949,1,0.0342445800275445,0.112816058169106,0.025177443960852,0.0228129672298679,0.0631244330382605,0.0561811051103804,0.025058734863077,0.0693283028922926,1,2
4,3,3,1,last,1.07931419993218,1.0191656887949,0.45992452323738,0.286941538851383,0.204519578054463,-0.245862181478373,0.152522732010083,-0.0950373400281413,0.40670298574641,0.248136232203714,0.490567699885203,2,1
6,1,3,0.333333333333333,first,1.0761185,1.02219225856632,1,0.0302877355815779,0.113065601084091,0.0231002783919714,0.0190794558471844,0.0551253499241462,0.0459427588408003,0.0229789459118869,0.0641758176673214,1,2
6,2,3,0.666666666666667,middle,1.0761185,1.02219225856632,0.46069487535926,0.283414718810519,0.204022024816131,-0.241716621279808,0.152441774878274,-0.0950345256810308,0.404434528117391,0.243913300495319,0.492844608647373,2,1
6,3,3,1,last,1.0761185,1.02219225856632,0.457645984842883,0.283635443483208,0.202832910863879,-0.243438496510336,0.150096745286193,-0.0949666638100916,0.400582220910596,0.245487786411255,0.480973085221554,2,1
8,1,3,0.333333333333333,first,1.0936191,1.00583466400687,1,0.0448294506814975,0.112087076614089,0.0362162164795211,0.0260278512643974,0.0751134584048392,0.0529319230362938,0.0361241914362871,0.0816740776609354,1,2
8,2,3,0.666666666666667,middle,1.0936191,1.00583466400687,0.453114956005389,0.286593703348552,0.205521480011456,-0.24573197615972,0.152060641206731,-0.0950135255155698,0.406832927466463,0.247946316027513,0.490653986441974,2,1
8,3,3,1,last,1.0936191,1.00583466400687,0.453492617392697,0.284633439190158,0.202301926450292,-0.243646358020277,0.151685509438367,-0.0949986914640391,0.403268616027642,0.245999148823975,0.488258599014519,2,1
9,1,3,0.333333333333333,first,1.0818598992844,1.01676751373038,1,0.040161659906393,0.111726916769765,0.0308595071103416,0.0252094740357023,0.0701720025775994,0.0527410662610353,0.0307363274710089,0.0802447285599942,1,2
9,2,3,0.666666666666667,middle,1.0818598992844,1.01676751373038,0.455061656819056,0.285305517945989,0.206622061612904,-0.242408417890243,0.154919270232373,-0.0950220735416575,0.407528402401236,0.244929608815982,0.49239515387052,2,1
9,3,3,1,last,1.0818598992844,1.01676751373038,0.460424770146457,0.288128622903938,0.205915435406845,-0.247080900871468,0.152820737993576,-0.0950347047579738,0.409364636346227,0.249270539418397,0.492319159598849,2,1
10,2,3,0.666666666666667,middle,1.05287377543378,1.04475961474755,1,0.0267449703960485,0.112754824694496,0.0200466678773997,0.0174250709024732,0.0493426524514377,0.0422442273414279,0.0199549770601408,0.0517527605405054,1,2
10,3,3,1,last,1.05287377543378,1.04475961474755,0.470259974024769,0.288705078336029,0.207057874997567,-0.246850475236737,0.154292717495119,-0.0950488406064555,0.410953205820333,0.249177591510155,0.499049760508782,2,1
12,1,3,0.333333333333333,first,1.06026347240936,1.03747797469655,1,0.0345832207451622,0.112464989012501,0.0259677375715854,0.0224523479114689,0.0623342668185486,0.0478164375702386,0.0258554090487563,0.0687760423337733,1,2
12,2,3,0.666666666666667,middle,1.06026347240936,1.03747797469655,0.460224648406772,0.284076372939362,0.202265967999111,-0.244355079246104,0.149453932895111,-0.0949712609948218,0.399580379271217,0.24645944369874,0.479116171648854,2,1
12,3,3,1,last,1.06026347240936,1.03747797469655,0.464563710306721,0.28369791803818,0.201562072370976,-0.24255706297872,0.151647344045145,-0.0949848872035943,0.401914325846635,0.24482605044517,0.486083214392655,2,1
14,1,3,0.333333333333333,first,1.07201579959914,1.02610427981689,1,0.0330536135108052,0.112421701530145,0.0251350649618525,0.0210765417126856,0.0596314193089077,0.0478981077941546,0.0250256018605174,0.0653674173407272,1,2
