scenario_name,battery_no,num_cycles_evaluated,mean_rmse_ekf,mean_rmse_gpr,mean_rmse_ekf_late,mean_rmse_gpr_late,num_gpr_improved_vs_ekf,num_gpr_worse_vs_ekf,gpr_improve_rate_vs_ekf,gpr_failure_rate_vs_ekf,num_qnom_clamped_cycles
baseline,1,3,0.0234455320241456,0.0375051290373939,NaN,NaN,0,3,0,1,3
baseline,3,3,0.0224287076296423,0.0388720352614309,NaN,NaN,0,3,0,1,3
baseline,5,3,0.0227793999235865,0.0395488779631279,NaN,NaN,0,3,0,1,3
baseline,7,3,0.025976684021024,0.0400921203561064,NaN,NaN,0,3,0,1,3
baseline,11,3,0.0228072234474651,0.0387626939982749,NaN,NaN,0,3,0,1,3
baseline,13,3,0.028879666349165,0.0432708868995571,NaN,NaN,0,3,0,1,3
baseline,17,3,0.0233866582848718,0.039424886964192,NaN,NaN,0,3,0,1,3
baseline,20,3,0.0277889209154086,0.0429590705569664,NaN,NaN,0,3,0,1,3
baseline,22,3,0.0387534431722988,0.0466369561913697,NaN,NaN,0,3,0,1,3
baseline,24,3,0.0326795034923529,0.0435508986007195,NaN,NaN,0,3,0,1,3
baseline,26,3,0.0292232233844118,0.0443659578426677,NaN,NaN,0,3,0,1,3
baseline,28,3,0.0369650049680335,0.0453492524982495,NaN,NaN,0,3,0,1,3
baseline,30,3,0.0297441256778309,0.0433864094819792,NaN,NaN,0,3,0,1,3
baseline,32,3,0.0352478285292288,0.0451835935604091,NaN,NaN,0,3,0,1,3
baseline,34,3,0.0336960404259894,0.0438513706709831,NaN,NaN,0,3,0,1,3
baseline,36,3,0.0397619462917161,0.0480714040168647,NaN,NaN,0,3,0,1,3
baseline,38,3,0.0367930171563639,0.0457955307927402,NaN,NaN,0,3,0,1,3
baseline,40,3,0.0438720853073209,0.0492290029323042,NaN,NaN,0,3,0,1,3
baseline,43,3,0.0392283422809057,0.0433974685434895,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
baseline,45,3,0.0360074245865294,0.0416980488845562,NaN,NaN,0,3,0,1,3
baseline,47,3,0.0404550104522305,0.0424201109475593,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
baseline,49,3,0.0380790466304095,0.0424329424939885,NaN,NaN,0,3,0,1,3
baseline,51,3,0.0414066516325666,0.044025473908873,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
baseline,53,3,0.0403743358357873,0.0458174221329601,NaN,NaN,0,3,0,1,3
baseline,55,3,0.034032096493979,0.0397186792764601,NaN,NaN,0,3,0,1,3
baseline,57,3,0.042334807184654,0.0472000783290929,NaN,NaN,0,3,0,1,3
baseline,59,3,0.0450995718048262,0.0465726958703673,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
baseline,61,3,0.0353394433809857,0.0397534448716464,NaN,NaN,0,3,0,1,3
baseline,63,3,0.0433868401392292,0.0445308348727116,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
baseline,65,3,0.0418666713238097,0.040725432641576,NaN,NaN,2,1,0.666666666666667,0.333333333333333,3
baseline,67,3,0.0396951823857253,0.0391868868572528,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
baseline,69,3,0.042297461921114,0.0415763178176357,NaN,NaN,1,2,0.333333333333333,0.666666666666667,3
