scenario_name,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,rmse_ekf_late,rmse_gpr_late,delta_gpr_vs_ekf_late,mean_abs_residual_pred,rmse_v,is_gpr_improved_vs_ekf,is_gpr_worse_vs_ekf,is_selected_cycle
baseline,1,1,1,1,0,1,1,0,0.0325444313957787,0.0455938290406267,0.013049397644848,NaN,NaN,NaN,0.0200156365308192,0.108984979992922,0,1,1
baseline,1,2,0.97,1,0,1,1,0,0.0223722244221611,0.0359267464428095,0.0135545220206484,NaN,NaN,NaN,0.0204155612157454,0.116295566878834,0,1,1
baseline,1,3,0.94,1,0,1,1,0,0.0154199402544969,0.0309948116287456,0.0155748713742486,NaN,NaN,NaN,0.0210943230661329,0.11166646691002,0,1,1
baseline,3,1,1,1,0,1,1,0,0.0387387448038715,0.0496626646332469,0.0109239198293754,NaN,NaN,NaN,0.0200730736091532,0.108515565131875,0,1,1
baseline,3,2,0.97,1,0,1,1,0,0.016737749843759,0.0363405986886141,0.0196028488448551,NaN,NaN,NaN,0.0225436366825497,0.10695902981295,0,1,1
baseline,3,3,0.94,1,0,1,1,0,0.0118096282412965,0.0306128424624318,0.0188032142211353,NaN,NaN,NaN,0.0217259684595126,0.110524630074412,0,1,1
baseline,5,1,1,1,0,1,1,0,0.0335990421876083,0.0495775830881634,0.0159785409005551,NaN,NaN,NaN,0.0219600264954223,0.109480810064681,0,1,1
baseline,5,2,0.97,1,0,1,1,0,0.0220203149314986,0.0377986366416053,0.0157783217101067,NaN,NaN,NaN,0.0205356972254715,0.107243139118476,0,1,1
baseline,5,3,0.94,1,0,1,1,0,0.0127188426516526,0.031270414159615,0.0185515715079624,NaN,NaN,NaN,0.0223510996555703,0.11076320739915,0,1,1
baseline,7,1,1,1,0,1,1,0,0.0419050201148515,0.04978301286206,0.00787799274720846,NaN,NaN,NaN,0.0186693227591147,0.119349814008494,0,1,1
baseline,7,2,0.97,1,0,1,1,0,0.0218219335848803,0.0388845853780037,0.0170626517931235,NaN,NaN,NaN,0.0206344463173676,0.112822709068365,0,1,1
