scenario_name,battery_no,cycle_idx,phase,soh_proxy,qnom_was_clamped,init_soc_offset,i_noise_mult,v_noise_mult,current_bias_frac,rmse_ekf,rmse_gpr,delta_gpr_vs_ekf,res_energy_ekf,res_energy_gpr,late_peak_ekf,late_t_ekf,late_peak_gpr,late_t_gpr,mid_valley_ekf,mid_t_ekf,mid_valley_gpr,mid_t_gpr,rmse_v
baseline,1,1,FIRST,1,1,0,1,1,0,0.0325444313957787,0.0455938290406267,0.013049397644848,0.0010264600286202,0.00201250257105112,0.0688608973343529,0.977272727272727,0.0988608973343529,0.977272727272727,0.00507187810470833,0.272727272727273,-0.0249281218952917,0.272727272727273,0.108984979992922
baseline,1,2,MIDDLE,0.97,1,0,1,1,0,0.0223722244221611,0.0359267464428095,0.0135545220206484,0.000483141998692342,0.00124911306035253,0.0485170277309678,0.954545454545455,0.0777996751031746,0.977272727272727,0.00221105629319396,0.522727272727273,-0.025793933189889,0.318181818181818,0.116295566878834
baseline,1,3,LAST,0.94,1,0,1,1,0,0.0154199402544969,0.0309948116287456,0.0155748713742486,0.000239413094396788,0.00096791732862442,0.00628787154120281,0.931818181818182,0.0362878715412028,0.931818181818182,-0.0293322060679661,0.454545454545455,-0.0486791860800012,0.318181818181818,0.11166646691002
baseline,3,1,FIRST,1,1,0,1,1,0,0.0387387448038715,0.0496626646332469,0.0109239198293754,0.00145847810671758,0.00238140469913082,0.0783833649462995,0.977272727272727,0.106654964925829,0.977272727272727,0.00568983598288933,0.159090909090909,-0.0243101640171107,0.159090909090909,0.108515565131875
baseline,3,2,MIDDLE,0.97,1,0,1,1,0,0.016737749843759,0.0363405986886141,0.0196028488448551,0.000266694077861222,0.00129496211166607,0.0396521667149702,0.954545454545455,0.0696521667149702,0.954545454545455,-0.00399114231932185,0.454545454545455,-0.0285372488403323,0.318181818181818,0.10695902981295
baseline,3,3,LAST,0.94,1,0,1,1,0,0.0118096282412965,0.0306128424624318,0.0188032142211353,0.000138601195185873,0.000940801798518582,0.0186644681407807,0.954545454545455,0.0486644681407807,0.954545454545455,-0.0186854360009892,0.454545454545455,-0.0426356108378514,0.363636363636364,0.110524630074412
baseline,5,1,FIRST,1,1,0,1,1,0,0.0335990421876083,0.0495775830881634,0.0159785409005551,0.00108783182084892,0.00238609881305483,0.072881259754216,0.977272727272727,0.102881259754216,0.977272727272727,0.00177031211865011,0.159090909090909,-0.0282296878813499,0.159090909090909,0.109480810064681
baseline,5,2,MIDDLE,0.97,1,0,1,1,0,0.0220203149314986,0.0377986366416053,0.0157783217101067,0.000474026305591037,0.00140185754123221,0.0431178095454823,0.931818181818182,0.0731178095454823,0.931818181818182,0.000161188460042927,0.318181818181818,-0.029838811539957,0.318181818181818,0.107243139118476
baseline,5,3,LAST,0.94,1,0,1,1,0,0.0127188426516526,0.031270414159615,0.0185515715079624,0.000161438207874234,0.00098262505607101,0.0112981387465864,0.977272727272727,0.0412981387465864,0.977272727272727,-0.0222855289898861,0.431818181818182,-0.0459508200445852,0.340909090909091,0.11076320739915
baseline,7,1,FIRST,1,1,0,1,1,0,0.0419050201148515,0.04978301286206,0.00787799274720846,0.00171534138864051,0.00239514771498479,0.0826388603417983,0.977272727272727,0.106416125947507,0.977272727272727,0.00682478600162162,0.159090909090909,-0.0231752139983784,0.159090909090909,0.119349814008494
baseline,7,2,MIDDLE,0.97,1,0,1,1,0,0.0218219335848803,0.0388845853780037,0.0170626517931235,0.000460051264250008,0.00147836439701435,0.0450494030657085,0.977272727272727,0.0750494030657085,0.977272727272727,-0.00436967035673391,0.431818181818182,-0.0330403418343875,0.318181818181818,0.112822709068365
baseline,7,3,LAST,0.94,1,0,1,1,0,0.0142030983633402,0.0316087628282554,0.0174056644649151,0.00020254883583949,0.00100728260647719,0.0133966157708837,0.886363636363636,0.0426853869684759,0.886363636363636,-0.0276040687875401,0.477272727272727,-0.0474747067609047,0.340909090909091,0.109694996294788
baseline,11,1,FIRST,1,1,0,1,1,0,0.0354986151822426,0.048003757455995,0.0125051422737524,0.00123809948842548,0.00225199450704564,0.0661220411782062,0.954545454545455,0.0961220411782062,0.954545454545455,0.00443562383350607,0.227272727272727,-0.025564376166494,0.227272727272727,0.114292020586986
baseline,11,2,MIDDLE,0.97,1,0,1,1,0,0.0208008217317452,0.0372682137254813,0.0164673919937361,0.000424061666018777,0.00136729890230016,0.0413414076911457,0.931818181818182,0.0713414076911457,0.931818181818182,-0.00194992023043677,0.340909090909091,-0.0319499202304368,0.340909090909091,0.111758714390294
baseline,11,3,LAST,0.94,1,0,1,1,0,0.0121222334284074,0.0310161108133485,0.0188938773849411,0.00014640755972876,0.000967501124679173,0.0126765643719056,0.886363636363636,0.0423381732306605,0.909090909090909,-0.0213844401768105,0.431818181818182,-0.0463821334548427,0.363636363636364,0.110774956066668
baseline,13,1,FIRST,1,1,0,1,1,0,0.0450054581293862,0.0531609789082676,0.00815552077888133,0.00198761414911465,0.00274447187673392,0.0861333588327262,0.977272727272727,0.109767677177243,0.977272727272727,0.00514004565646545,0.181818181818182,-0.0248599543435346,0.181818181818182,0.118791228941642
