test_group,battery_no,cycle_idx,qnom_start_frac,qnom_was_clamped,rmse_ekf,rmse_gpr,rmse_bayes,delta_gpr_vs_ekf,delta_bayes_vs_ekf,delta_bayes_vs_gpr,rmse_ekf_late,rmse_gpr_late,rmse_bayes_late,delta_gpr_vs_ekf_late,delta_bayes_vs_ekf_late,delta_bayes_vs_gpr_late,mean_abs_residual_pred,mean_alpha_bayes,mean_sigma_ekf,mean_sigma_gpr,mean_gpr_scale_eff,mem_ekf_bad_in,mem_gpr_bad_in,rmse_v,is_bayes_improved_vs_ekf,is_bayes_better_than_gpr,is_bayes_worse_vs_ekf,is_bayes_worse_than_gpr,is_selected_cycle
secondary,85,1,1,1,0.0406188613249165,0.0452371566128392,0.041097074793174,0.00461829528792274,0.000478213468257514,-0.00414008181966522,NaN,NaN,NaN,NaN,NaN,NaN,0.0202605962195394,0.819336470365921,0.0140930024786221,0.00583205710612356,1.83847462960206,0.55,0.2,0.10908105151993,0,1,1,0,1
secondary,85,2,0.97,1,0.0322504338638464,0.0325061074440985,0.0282774844028409,0.000255673580252101,-0.00397294946100556,-0.00422862304125766,NaN,NaN,NaN,NaN,NaN,NaN,0.0209590210734292,0.787432043057017,0.0131444635657779,0.00635341473234696,1.87984880126578,0.499072919138469,0.277498177987841,0.116345181438437,1,1,0,0,1
secondary,85,3,0.94,1,0.0118485391289442,0.0148612118054788,0.00937527214554548,0.00301267267653462,-0.00247326698339874,-0.00548593965993336,NaN,NaN,NaN,NaN,NaN,NaN,0.0212260630172627,0.787731979683748,0.012332168340588,0.0059409795200444,1.87342872306967,0.456878685454609,0.349152547478814,0.11160831652395,1,1,0,0,1
secondary,86,1,1,1,0.0416728862555376,0.0443135251513765,0.0401861770845395,0.00264063889583891,-0.00148670917099805,-0.00412734806683696,NaN,NaN,NaN,NaN,NaN,NaN,0.0207217530970162,0.81702979126259,0.0136837215592593,0.00586683194844029,1.84391547824556,0.55,0.2,0.108685533836207,1,1,0,0,1
secondary,86,2,0.97,1,0.0230372751098735,0.0265453891524183,0.0214349367028996,0.00350811404254474,-0.00160233840697388,-0.00511045244951861,NaN,NaN,NaN,NaN,NaN,NaN,0.022775651377761,0.797882568994662,0.0126642593233182,0.00590720578074866,1.8620131784817,0.496549247727706,0.278145477119923,0.107281743613741,1,1,0,0,1
secondary,86,3,0.94,1,0.0167813319697414,0.0143819344504689,0.00911625414213694,-0.00239939751927242,-0.00766507782760443,-0.00526568030833201,NaN,NaN,NaN,NaN,NaN,NaN,0.0222205191548715,0.778389145463526,0.0117851895889384,0.00595983707533122,1.87812745260621,0.451475035824937,0.340063000762422,0.110961940088395,1,1,0,0,1
secondary,87,1,1,1,0.0342509268977759,0.0417535773385513,0.0370170129540982,0.0075026504407754,0.00276608605632232,-0.00473656438445309,NaN,NaN,NaN,NaN,NaN,NaN,0.0224023059141031,0.806472022224435,0.0136355576150898,0.00585511480277534,1.84397585143994,0.55,0.2,0.109456908231287,0,1,1,0,1
secondary,87,2,0.97,1,0.0256259229893934,0.0268811665927803,0.0221744732748145,0.00125524360338694,-0.00345144971457888,-0.00470669331796582,NaN,NaN,NaN,NaN,NaN,NaN,0.0211346522006785,0.804636814731286,0.0130139856937125,0.00591710324345214,1.85921419675278,0.495704748890952,0.277434003481056,0.107364745683924,1,1,0,0,1
secondary,87,3,0.94,1,0.0140394336179665,0.0129138778491112,0.00878644543459025,-0.00112555576885529,-0.00525298818337621,-0.00412743241452092,NaN,NaN,NaN,NaN,NaN,NaN,0.0226823701608257,0.792317294288308,0.0125970971519592,0.00591875503700353,1.86883443846153,0.452890315272229,0.340100904091172,0.111035979349717,1,1,0,0,1
secondary,88,1,1,1,0.0470616224704473,0.0476517361587154,0.0440852817121801,0.000590113688268099,-0.00297634075826719,-0.00356645444653529,NaN,NaN,NaN,NaN,NaN,NaN,0.0191256521560109,0.810823358957212,0.014570736933773,0.00624974186182284,1.85657744249124,0.55,0.2,0.119394317597758,1,1,0,0,1
secondary,88,2,0.97,1,0.0270860457791076,0.0317502061581093,0.0272357518997801,0.00466416037900163,0.000149706120672437,-0.00451445425832919,NaN,NaN,NaN,NaN,NaN,NaN,0.0210368469159734,0.814887281342716,0.0133505404251489,0.00589357208594963,1.85713688165948,0.502186939396887,0.286529697159169,0.113021773530644,0,1,1,0,1
secondary,88,3,0.94,1,0.0120120551938706,0.0154067529112611,0.010235749162662,0.00339469771739044,-0.00177630603120861,-0.00517100374859904,NaN,NaN,NaN,NaN,NaN,NaN,0.020779820360353,0.794704314450209,0.0133171797275665,0.0063498990996715,1.88551316787461,0.460024069423845,0.347035767168277,0.109580950346406,1,1,0,0,1
secondary,89,1,1,1,0.0311006842932905,0.035735453535407,0.0310211820042699,0.00463476924211654,-7.95022890205908e-05,-0.00471427153113713,NaN,NaN,NaN,NaN,NaN,NaN,0.0198302415703504,0.783001204859076,0.0136855338175563,0.00629981264380997,1.86504836999798,0.55,0.2,0.114603844268501,1,1,0,0,1
secondary,89,2,0.97,1,0.0189198814955966,0.0212387971572329,0.0160275315113932,0.00231891566163627,-0.00289234998420341,-0.00521126564583967,NaN,NaN,NaN,NaN,NaN,NaN,0.0220522706243957,0.793171751954837,0.0138920156633709,0.00633013270737269,1.87374148980472,0.496938345211151,0.286994804938549,0.111333058619507,1,1,0,0,1
secondary,89,3,0.94,1,0.0161085439299686,0.0120001738411592,0.00932412263477705,-0.00410837008880939,-0.00678442129519154,-0.00267605120638215,NaN,NaN,NaN,NaN,NaN,NaN,0.0217190193710624,0.790282304302427,0.0126479239900976,0.00592970740313483,1.87132391086994,0.460155780889212,0.356587221487339,0.111538279050241,1,1,0,0,1
secondary,90,1,1,1,0.0403639004380827,0.0422122694377932,0.0381606485615159,0.00184836899971053,-0.00220325187656677,-0.00405162087627731,NaN,NaN,NaN,NaN,NaN,NaN,0.0202873826786087,0.774292716579572,0.0128736963261065,0.00630218555713094,1.87220600247898,0.55,0.2,0.11907417136183,1,1,0,0,1
secondary,90,2,0.97,1,0.0218605372477375,0.0270960085472805,0.0219198507335352,0.00523547129954295,5.93134857976504e-05,-0.0051761578137453,NaN,NaN,NaN,NaN,NaN,NaN,0.0212555552989414,0.793680000072649,0.0126130128941103,0.00591114735480389,1.86363478936004,0.491583869304765,0.286594697898909,0.108072047547377,0,1,1,0,1
secondary,90,3,0.94,1,0.0123516328846703,0.0161455412564484,0.0109763461755045,0.00379390837177811,-0.0013752867091658,-0.00516919508094391,NaN,NaN,NaN,NaN,NaN,NaN,0.0210682949063676,0.759943376944526,0.0122378141345631,0.00639716843223091,1.89490024911989,0.447151884505598,0.34697922833254,0.115481961583107,1,1,0,0,1
secondary,91,1,1,1,0.0349311339714314,0.0419635509780935,0.0374152719107479,0.00703241700666212,0.00248413793931655,-0.00454827906734558,NaN,NaN,NaN,NaN,NaN,NaN,0.0219896328143039,0.813695606055341,0.0139474755927684,0.00582540200794955,1.83987429219532,0.55,0.2,0.109827477221822,0,1,1,0,1
secondary,91,2,0.97,1,0.0275106742283261,0.0282921368778271,0.0233597857991925,0.000781462649501002,-0.00415088842913352,-0.00493235107863452,NaN,NaN,NaN,NaN,NaN,NaN,0.0222165435118295,0.81490722639211,0.0136116715861628,0.00589969585762525,1.85389167561233,0.498006591737282,0.277244429019321,0.111568216492829,1,1,0,0,1
secondary,91,3,0.94,1,0.0149264268502317,0.0130377752635032,0.00855146142473369,-0.00188865158672855,-0.00637496542549801,-0.00448631383876946,NaN,NaN,NaN,NaN,NaN,NaN,0.0222628862635381,0.788670735857495,0.0133038611955731,0.00635871730781409,1.88561355888905,0.458085750808206,0.339986619480155,0.109044942401066,1,1,0,0,1
secondary,92,1,1,1,0.0390453101831606,0.0421805955185034,0.038456852427191,0.00313528533534286,-0.000588457755969558,-0.00372374309131242,NaN,NaN,NaN,NaN,NaN,NaN,0.0195253904457731,0.824150792360366,0.0138562305311939,0.00581663902918211,1.8407379722112,0.55,0.2,0.114605642751303,1,1,0,0,1
secondary,92,2,0.97,1,0.0201716932724077,0.027623213002134,0.0225840112149766,0.00745151972972628,0.00241231794256886,-0.00503920178715742,NaN,NaN,NaN,NaN,NaN,NaN,0.0215776209161897,0.789531325821106,0.0124880546835668,0.00590455624981884,1.86344638025513,0.497905442733988,0.277231166654091,0.108790469213547,0,1,1,0,1
secondary,92,3,0.94,1,0.0135553723666187,0.0147396428902582,0.0115797330477346,0.00118427052363947,-0.00197563931888409,-0.00315990984252356,NaN,NaN,NaN,NaN,NaN,NaN,0.0230624714308483,0.774839762797648,0.0118862503054093,0.00594002741496418,1.87554088359346,0.450787992525239,0.339269365765618,0.109013776788141,1,1,0,0,1
secondary,93,1,1,1,0.0370300301069735,0.0425821680277653,0.0385038958177584,0.00555213792079181,0.00147386571078483,-0.00407827221000698,NaN,NaN,NaN,NaN,NaN,NaN,0.0217198538752547,0.812219043348262,0.0133593031096709,0.00585244866976292,1.84601083989565,0.55,0.2,0.120588169785445,0,1,1,0,1
secondary,93,2,0.97,1,0.0273955137593195,0.0300378024520434,0.0249592799998254,0.00264228869272386,-0.00243623375949415,-0.00507852245221802,NaN,NaN,NaN,NaN,NaN,NaN,0.0207685900892063,0.785820755614265,0.0134710762293913,0.00632510095487406,1.87542800628174,0.495213309507959,0.277544983912124,0.111632072888522,1,1,0,0,1
secondary,93,3,0.94,1,0.0174719671043978,0.0177130177504874,0.0125223933548617,0.000241050646089595,-0.00494957374953609,-0.00519062439562568,NaN,NaN,NaN,NaN,NaN,NaN,0.0216691299818285,0.818705273297651,0.0134368156497693,0.00592120162090619,1.86212794808049,0.455617856953426,0.34889065396823,0.111390294205017,1,1,0,0,1
secondary,94,1,1,1,0.0290130073717221,0.0375441642753048,0.0328682764574771,0.00853115690358276,0.00385526908575498,-0.00467588781782777,NaN,NaN,NaN,NaN,NaN,NaN,0.0217168500028508,0.815206396428842,0.0135408003859887,0.00583348688802035,1.84375715010989,0.55,0.2,0.112976280479996,0,1,1,0,1
secondary,94,2,0.97,1,0.0223389213220919,0.0268887994123587,0.0216664245205561,0.00454987809026679,-0.00067249680153577,-0.00522237489180256,NaN,NaN,NaN,NaN,NaN,NaN,0.0195509704596916,0.781313451368969,0.0127977268821236,0.0063739927797661,1.88321866555362,0.49601750836766,0.277133670035494,0.110600696681763,1,1,0,0,1
secondary,94,3,0.94,1,0.014675111088645,0.0158847718979027,0.0111458053555164,0.00120966080925772,-0.00352930573312858,-0.0047389665423863,NaN,NaN,NaN,NaN,NaN,NaN,0.021640079377942,0.799939329082435,0.0126600621570213,0.00596890265437327,1.87177085230771,0.45263129979979,0.349193680881143,0.118507551722452,1,1,0,0,1
secondary,95,1,1,1,0.0372480696167996,0.0407917487443076,0.0365006921541317,0.00354367912750803,-0.000747377462667828,-0.00429105659017585,NaN,NaN,NaN,NaN,NaN,NaN,0.022047945830935,0.819632052438933,0.0142804189885041,0.00585449637604535,1.83905106772876,0.55,0.2,0.101845921167448,1,1,0,0,1
secondary,95,2,0.97,1,0.0164214885940783,0.0256721064706772,0.020934067190118,0.00925061787659889,0.00451257859603961,-0.00473803928055928,NaN,NaN,NaN,NaN,NaN,NaN,0.0215349675181253,0.819613819518738,0.0136408235377203,0.00586318316431191,1.85181046638736,0.499830361108428,0.278175916111223,0.114243036130468,0,1,1,0,1
secondary,95,3,0.94,1,0.0143854753554276,0.0157339245761885,0.0133876735650465,0.00134844922076085,-0.000997801790381137,-0.00234625101114199,NaN,NaN,NaN,NaN,NaN,NaN,0.0223096489853756,0.765526841936529,0.0122877787181262,0.00636782094833028,1.89192447732851,0.460349818147069,0.339690244931101,0.108516393671132,1,1,0,0,1
secondary,96,1,1,1,0.0449705350307498,0.0453162433129427,0.0412949977970528,0.000345708282192922,-0.00367553723369694,-0.00402124551588986,NaN,NaN,NaN,NaN,NaN,NaN,0.0202229178918804,0.800499267566508,0.0144367922322581,0.00624060730527062,1.85646816685089,0.55,0.2,0.115266745776249,1,1,0,0,1
secondary,96,2,0.97,1,0.0235374911103921,0.0313217961107942,0.0264410584598126,0.00778430500040212,0.00290356734942055,-0.00488073765098157,NaN,NaN,NaN,NaN,NaN,NaN,0.0201599270103758,0.780879947151612,0.0130035993698811,0.00634124333529607,1.88101477526309,0.500757231727989,0.286184620940517,0.111299397566559,0,1,1,0,1
secondary,96,3,0.94,1,0.0128914838336129,0.0194889933922786,0.0145015367377872,0.00659750955866566,0.00161005290417426,-0.0049874566544914,NaN,NaN,NaN,NaN,NaN,NaN,0.020236940665566,0.799673091664007,0.0125828755948408,0.00595012558209647,1.8724655496553,0.457433494370167,0.355726919539107,0.113226956553567,0,1,1,0,1
secondary,97,1,1,1,0.0277156182328287,0.0382827882999855,0.0337953703027256,0.0105671700671568,0.00607975206989687,-0.00448741799725991,NaN,NaN,NaN,NaN,NaN,NaN,0.0204414424178112,0.816842498161827,0.0140010724298851,0.0058130869430585,1.83754495928608,0.55,0.2,0.107795110371702,0,1,1,0,1
secondary,97,2,0.97,1,0.0131217532965862,0.0208354085921247,0.0152445264631729,0.0077136552955385,0.0021227731665867,-0.00559088212895179,NaN,NaN,NaN,NaN,NaN,NaN,0.0228976039601755,0.774618315218504,0.0127337687387851,0.00632321222895499,1.88079270407999,0.499123188036544,0.276842131972396,0.112675415039947,0,1,1,0,1
secondary,97,3,0.94,1,0.011648796942774,0.0180333674578794,0.0135141461170245,0.00638457051510536,0.00186534917425048,-0.00451922134085487,NaN,NaN,NaN,NaN,NaN,NaN,0.0203983694415969,0.79525824499192,0.0125187279896931,0.00595367338464764,1.87263119539706,0.454724485217894,0.347153242376506,0.109586963106304,0,1,1,0,1
secondary,98,1,1,1,0.0414970732021452,0.0440958505609944,0.040222633481049,0.00259877735884925,-0.0012744397210961,-0.00387321707994535,NaN,NaN,NaN,NaN,NaN,NaN,0.0194325425906482,0.804010948425036,0.0140748206930761,0.00625621691868192,1.8605462313321,0.55,0.2,0.111879434216994,1,1,0,0,1
secondary,98,2,0.97,1,0.0182202886776559,0.0281042293699286,0.0224798017119638,0.00988394069227263,0.00425951303430782,-0.00562442765796481,NaN,NaN,NaN,NaN,NaN,NaN,0.0214621801819029,0.778462770938887,0.0131891187144015,0.00631988980936323,1.87883284338424,0.499757224979858,0.286475865075586,0.113161143129301,0,1,1,0,1
secondary,98,3,0.94,1,0.012093155029292,0.0185578976978219,0.0142522162593558,0.00646474266852989,0.00215906123006382,-0.00430568143846608,NaN,NaN,NaN,NaN,NaN,NaN,0.0215240700212269,0.806424103538877,0.013026163850504,0.00593023827993973,1.86763518470921,0.457310161555997,0.355301333565494,0.114528053221261,0,1,1,0,1
secondary,99,1,1,1,0.0305613821001635,0.0401144878721179,0.0355422785982705,0.00955310577195445,0.00498089649810699,-0.00457220927384746,NaN,NaN,NaN,NaN,NaN,NaN,0.0216007859842869,0.809537438636695,0.0136278827240696,0.00582894550703087,1.8426721073192,0.55,0.2,0.115211270242392,0,1,1,0,1
secondary,99,2,0.97,1,0.0268726607184201,0.0299443716417904,0.0252934529820696,0.00307171092337031,-0.00157920773635055,-0.00465091865972086,NaN,NaN,NaN,NaN,NaN,NaN,0.0198103135771356,0.779646131201933,0.0128822752857676,0.00633341832461865,1.88078947326526,0.496120708196345,0.277145601437574,0.114422687491787,1,1,0,0,1
secondary,99,3,0.94,1,0.0123346068755428,0.0182684667068245,0.0153527592689818,0.00593385983128169,0.003018152393439,-0.00291570743784269,NaN,NaN,NaN,NaN,NaN,NaN,0.0219308412658043,0.816398095120533,0.0137953154481646,0.00589291156566003,1.8594696054551,0.452540993025748,0.348445184008522,0.105473432340542,0,1,1,0,1
secondary,100,1,1,1,0.0282313702681067,0.0360393170335311,0.0311178506736858,0.00780794676542443,0.00288648040557916,-0.00492146635984527,NaN,NaN,NaN,NaN,NaN,NaN,0.0217137131239696,0.796563681750361,0.0143165176666851,0.00627697332661939,1.85956947079743,0.55,0.2,0.109100849470443,0,1,1,0,1
secondary,100,2,0.97,1,0.0189666447035029,0.0250397412369735,0.0205304109748516,0.00607309653347066,0.00156376627134875,-0.00450933026212191,NaN,NaN,NaN,NaN,NaN,NaN,0.0215126413776626,0.821386720949057,0.0138030591824764,0.00587243311307081,1.85253677535023,0.501122189399152,0.286914977719025,0.110346428181296,0,1,1,0,1
secondary,100,3,0.94,1,0.0142013035648599,0.0191669507864111,0.0172492901278314,0.00496564722155119,0.0030479865629715,-0.00191766065857969,NaN,NaN,NaN,NaN,NaN,NaN,0.0209808814395872,0.82567858931856,0.0137232773854703,0.00589429501774984,1.86064715645481,0.46222338495253,0.347321966876386,0.104547855202348,0,1,1,0,1
secondary,101,1,1,1,0.0277814259095809,0.0376254146663342,0.0327777224876673,0.0098439887567533,0.00499629657808632,-0.00484769217866698,NaN,NaN,NaN,NaN,NaN,NaN,0.0212136603445474,0.797451591350197,0.012845179673764,0.00585170851710405,1.85042096707202,0.55,0.2,0.11052084238498,0,1,1,0,1
secondary,101,2,0.97,1,0.0181587820558321,0.0263850593600765,0.0210148142138,0.00822627730424437,0.0028560321579679,-0.00537024514627647,NaN,NaN,NaN,NaN,NaN,NaN,0.0210054533362892,0.792780097372645,0.0124717119520335,0.00592747991567162,1.8645767338676,0.491275291950913,0.277199696188179,0.106500788782026,0,1,1,0,1
secondary,101,3,0.94,1,0.0142774427312178,0.0172132892358058,0.0143558259123644,0.00293584650458808,7.83831811466702e-05,-0.00285746332344141,NaN,NaN,NaN,NaN,NaN,NaN,0.0224340316754707,0.804598372177202,0.0129243255903771,0.00592796481929628,1.86811929681376,0.446144400533177,0.339988505941144,0.108662817410717,0,1,1,0,1
secondary,102,1,1,1,0.0368394217418913,0.0418449588429611,0.0385122834972481,0.00500553710106975,0.00167286175535681,-0.00333267534571294,NaN,NaN,NaN,NaN,NaN,NaN,0.0190830384405262,0.832108099005735,0.0140712287970858,0.00577990733314971,1.83678151819546,0.55,0.2,0.115635934315718,0,1,1,0,1
secondary,102,2,0.97,1,0.0177960532529524,0.0278128864941248,0.0227820500695612,0.0100168332411724,0.00498599681660881,-0.00503083642456354,NaN,NaN,NaN,NaN,NaN,NaN,0.0210654939259126,0.803052087093052,0.0143108852805721,0.00629044741687452,1.86830236545919,0.499612192914706,0.276661083833357,0.102777009595037,0,1,1,0,1
secondary,102,3,0.94,1,0.0106399542286004,0.0195952449419767,0.0146401718069045,0.00895529071337635,0.00400021757830414,-0.00495507313507221,NaN,NaN,NaN,NaN,NaN,NaN,0.0214772300860963,0.758978574818532,0.0120323836137874,0.0064334598407037,1.89830874088954,0.46452875650284,0.347904052800525,0.10651514210008,0,1,1,0,1
